epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7573,1.71562,4.50126,3.02644,1.71793,0,0,0,0,0,0,0,0,0,1.31945,2.88802,2.70347,1.63713,0,0.000389744,0.000389744,0.000389744
2,21.8681,1.33034,2.25879,1.81046,1.31649,0,0.72549,0.19072,0.46016,0.3185,0.76471,0.20103,0.48228,0.27423,1.48503,2.74198,2.89938,1.7784,0,0.000784531,0.000784531,0.000784531
3,31.54,1.35195,2.1179,1.59131,1.36079,0,0.72603,0.81959,0.75023,0.44831,0.6621,0.74742,0.67429,0.31071,1.34245,2.73245,2.1857,1.61032,0,0.00117404,0.00117404,0.00117404
4,41.6275,1.31313,2.12072,1.46617,1.31863,0,0.54636,0.68911,0.62457,0.30729,0.59974,0.76464,0.67772,0.32453,1.54657,1.90199,2.21022,1.76085,0,0.00155827,0.00155827,0.00155827
5,50.8399,1.31242,2.10997,1.38683,1.33054,0,0.63623,0.60309,0.54145,0.28749,0.5935,0.55155,0.4979,0.21977,1.63202,4.49597,2.25298,2.14331,0,0.00193721,0.00193721,0.00193721
6,60.341,1.32942,2.06082,1.31957,1.34097,0,0.66692,0.71134,0.71952,0.45763,0.72656,0.76804,0.77601,0.39085,1.18705,2.33503,1.53971,1.39355,0,0.001934,0.001934,0.001934
7,69.6583,1.31999,2.00543,1.24306,1.31795,0,0.63916,0.6701,0.67231,0.36206,0.71046,0.61856,0.67127,0.31477,1.81852,2.31757,1.57485,2.10505,0,0.0019208,0.0019208,0.0019208
8,78.8983,1.27474,1.9931,1.19499,1.30428,0,0.59891,0.80928,0.69481,0.42839,0.65092,0.76289,0.73045,0.38133,1.45544,1.95259,1.5979,1.66444,0,0.0019076,0.0019076,0.0019076
9,88.0823,1.22539,1.91864,1.12457,1.2819,0,0.66547,0.85108,0.73044,0.48905,0.69445,0.8299,0.77616,0.41989,1.12009,1.78702,1.33247,1.36551,0,0.0018944,0.0018944,0.0018944
10,97.0723,1.23702,1.86188,1.07322,1.26907,0,0.80221,0.85715,0.85136,0.58542,0.86028,0.79342,0.85883,0.46247,1.16734,2.38573,1.08445,1.37783,0,0.0018812,0.0018812,0.0018812
11,106.096,1.23633,1.93026,1.07095,1.28354,0,0.65974,0.77957,0.75553,0.46217,0.69208,0.79941,0.7865,0.43114,1.36961,1.82523,1.58812,1.54907,0,0.001868,0.001868,0.001868
12,115.265,1.19623,1.85577,1.00839,1.2528,0,0.8248,0.79897,0.86626,0.57749,0.85728,0.8299,0.90589,0.51545,1.16192,1.91144,1.24743,1.40715,0,0.0018548,0.0018548,0.0018548
13,124.472,1.21266,1.85953,1.00806,1.28163,0,0.75667,0.73196,0.80343,0.53851,0.78316,0.77835,0.86112,0.51638,1.1333,1.65202,1.30437,1.38202,0,0.0018416,0.0018416,0.0018416
14,133.427,1.20464,1.89,1.00434,1.26708,0,0.90145,0.89583,0.93951,0.67498,0.91471,0.89175,0.94377,0.58931,1.123,1.78093,0.73654,1.32793,0,0.0018284,0.0018284,0.0018284
15,142.509,1.2016,1.86324,0.99522,1.26163,0,0.9201,0.85052,0.93371,0.58435,0.90753,0.91057,0.94458,0.55585,1.31697,1.62686,0.79788,1.44034,0,0.0018152,0.0018152,0.0018152
16,151.626,1.1507,1.78159,0.96031,1.24589,0,0.81845,0.83505,0.91535,0.63603,0.81084,0.85567,0.9311,0.59066,1.12151,1.60825,0.90774,1.37848,0,0.001802,0.001802,0.001802
17,160.658,1.16742,1.78589,0.94741,1.25415,0,0.80186,0.89691,0.91318,0.62279,0.82671,0.93299,0.93484,0.60125,1.20319,1.52428,0.82614,1.38509,0,0.0017888,0.0017888,0.0017888
18,169.618,1.1452,1.75015,0.9191,1.23213,0,0.80399,0.89691,0.91548,0.65711,0.81648,0.91729,0.93159,0.59938,1.10099,1.56725,0.83702,1.31415,0,0.0017756,0.0017756,0.0017756
19,178.681,1.15604,1.78696,0.94412,1.24457,0,0.81446,0.86082,0.90185,0.59837,0.8569,0.86428,0.93094,0.53469,1.09364,1.62253,0.84654,1.29521,0,0.0017624,0.0017624,0.0017624
20,187.866,1.16911,1.75312,0.90555,1.24164,0,0.81188,0.88983,0.90589,0.58919,0.81361,0.90004,0.91657,0.50756,1.27184,2.01119,0.87747,1.4478,0,0.0017492,0.0017492,0.0017492
21,196.969,1.17895,1.75595,0.91276,1.25005,0,0.84444,0.89544,0.9418,0.69274,0.8491,0.89915,0.95045,0.60335,1.01981,1.60256,0.71745,1.24201,0,0.001736,0.001736,0.001736
22,206.048,1.11575,1.77129,0.88213,1.22165,0,0.86057,0.91237,0.92984,0.67708,0.87029,0.92268,0.93572,0.59158,1.03976,1.52094,0.73801,1.26087,0,0.0017228,0.0017228,0.0017228
23,215.144,1.08643,1.66218,0.82707,1.19566,0,0.91259,0.90206,0.95339,0.7078,0.91898,0.90722,0.95688,0.62495,0.97666,1.49464,0.63808,1.21171,0,0.0017096,0.0017096,0.0017096
24,224.256,1.08611,1.67984,0.82109,1.20196,0,0.90945,0.95361,0.96649,0.70691,0.90537,0.95876,0.97269,0.63494,1.00126,1.6043,0.64181,1.23292,0,0.0016964,0.0016964,0.0016964
25,233.405,1.07916,1.73504,0.86105,1.19237,0,0.87712,0.9199,0.95015,0.68237,0.88302,0.95876,0.96476,0.62628,1.03305,1.45497,0.75404,1.24598,0,0.0016832,0.0016832,0.0016832
26,242.455,1.09739,1.69382,0.84851,1.20164,0,0.92635,0.94845,0.97643,0.72192,0.93409,0.96907,0.98312,0.65123,0.97191,1.50741,0.60462,1.206,0,0.00167,0.00167,0.00167
27,251.645,1.10596,1.66609,0.83059,1.22716,0,0.86723,0.90206,0.94621,0.68896,0.88213,0.91237,0.9518,0.59987,0.99668,1.5269,0.70553,1.20682,0,0.0016568,0.0016568,0.0016568
28,260.853,1.07616,1.60584,0.80668,1.19985,0,0.8129,0.90206,0.93506,0.69007,0.8154,0.91237,0.94015,0.61475,1.02758,1.55263,0.70954,1.25456,0,0.0016436,0.0016436,0.0016436
29,269.953,1.088,1.68358,0.81509,1.20709,0,0.91401,0.93147,0.96885,0.72361,0.9291,0.92268,0.97335,0.64869,1.0136,1.4375,0.60927,1.23092,0,0.0016304,0.0016304,0.0016304
30,279.162,1.10975,1.71457,0.83134,1.20741,0,0.83359,0.94845,0.94013,0.68996,0.84581,0.95876,0.95517,0.60158,0.99496,1.63538,0.65266,1.22423,0,0.0016172,0.0016172,0.0016172
31,288.323,1.12177,1.7142,0.82811,1.23071,0,0.9208,0.95891,0.96848,0.70893,0.9307,0.96922,0.97122,0.62421,1.05679,1.47527,0.55124,1.2465,0,0.001604,0.001604,0.001604
32,297.462,1.07273,1.65038,0.80142,1.17728,0,0.9272,0.98481,0.97833,0.72567,0.92252,0.98193,0.97513,0.65322,1.04198,1.55891,0.60017,1.25763,0,0.0015908,0.0015908,0.0015908
33,306.597,1.10865,1.69144,0.81681,1.21688,0,0.84605,0.92784,0.9426,0.68845,0.85212,0.93299,0.94877,0.63274,0.99641,1.45538,0.68681,1.24037,0,0.0015776,0.0015776,0.0015776
34,315.839,1.0451,1.62547,0.78123,1.18875,0,0.92105,0.96222,0.97191,0.72354,0.92105,0.96222,0.97233,0.63119,0.96473,1.50173,0.59541,1.19329,0,0.0015644,0.0015644,0.0015644
35,325.145,1.07826,1.64294,0.79496,1.20065,0,0.89173,0.934,0.95376,0.68817,0.90647,0.94918,0.96532,0.61071,1.06099,1.55104,0.66813,1.26261,0,0.0015512,0.0015512,0.0015512
36,334.384,1.07772,1.64333,0.79216,1.1943,0,0.91381,0.92906,0.97122,0.73683,0.925,0.95356,0.98067,0.57867,0.95681,1.7717,0.58908,1.17813,0,0.001538,0.001538,0.001538
37,343.608,1.05882,1.63489,0.79121,1.18161,0,0.91874,0.91753,0.95899,0.70657,0.93052,0.92784,0.96273,0.62041,0.99652,1.53528,0.62017,1.20618,0,0.0015248,0.0015248,0.0015248
38,352.842,1.08847,1.73157,0.82339,1.21016,0,0.93361,0.94845,0.9709,0.72824,0.93941,0.95899,0.97616,0.65762,1.01368,1.42529,0.53359,1.20374,0,0.0015116,0.0015116,0.0015116
39,362.151,1.018,1.63461,0.74768,1.17234,0,0.89803,0.89691,0.94648,0.71301,0.8988,0.91237,0.95217,0.61626,1.04461,1.55762,0.60524,1.29446,0,0.0014984,0.0014984,0.0014984
40,371.318,1.05325,1.60928,0.7777,1.19018,0,0.90607,0.94845,0.96518,0.73608,0.91117,0.9517,0.97448,0.62551,0.97018,1.57877,0.57089,1.22676,0,0.0014852,0.0014852,0.0014852
41,380.51,1.05376,1.59886,0.76083,1.18078,0,0.86147,0.96163,0.9645,0.71101,0.86128,0.95876,0.9673,0.64459,0.97388,1.46347,0.59273,1.17947,0,0.001472,0.001472,0.001472
42,389.619,1.03458,1.62307,0.76734,1.17317,0,0.92089,0.91237,0.95818,0.71741,0.93147,0.92784,0.97301,0.65164,0.97735,1.43329,0.8094,1.2119,0,0.0014588,0.0014588,0.0014588
43,398.775,1.06037,1.66698,0.76314,1.18648,0,0.90113,0.9433,0.96062,0.69975,0.91488,0.95361,0.96874,0.63095,1.02987,1.4487,0.59641,1.22473,0,0.0014456,0.0014456,0.0014456
44,408.014,1.0497,1.62951,0.77089,1.17383,0,0.84685,0.96907,0.94495,0.72817,0.87812,0.95876,0.96071,0.64538,0.91307,1.38134,0.55721,1.16252,0,0.0014324,0.0014324,0.0014324
45,417.194,1.00911,1.60185,0.74017,1.15999,0,0.82411,0.90722,0.89502,0.61522,0.83015,0.95361,0.92088,0.55271,1.15296,1.76887,0.69182,1.35496,0,0.0014192,0.0014192,0.0014192
46,426.415,1.02267,1.61631,0.77142,1.16271,0,0.92414,0.94189,0.97032,0.75284,0.93386,0.94613,0.97659,0.65737,0.8955,1.49811,0.52318,1.14686,0,0.001406,0.001406,0.001406
47,435.812,1.01414,1.60788,0.72284,1.15627,0,0.89985,0.91753,0.96499,0.73727,0.89279,0.96907,0.97612,0.66448,0.90733,1.39723,0.51354,1.1324,0,0.0013928,0.0013928,0.0013928
48,445.312,1.01698,1.57959,0.74,1.15665,0,0.92963,0.9533,0.96895,0.73837,0.92963,0.9533,0.97363,0.64697,0.96536,1.47524,0.5089,1.17484,0,0.0013796,0.0013796,0.0013796
49,455.016,1.02765,1.61606,0.74575,1.18527,0,0.89194,0.93605,0.93802,0.6926,0.91804,0.9433,0.9534,0.60839,0.99486,1.49609,0.61574,1.21798,0,0.0013664,0.0013664,0.0013664
50,464.372,1.01917,1.57257,0.71969,1.15881,0,0.9264,0.95361,0.96625,0.69863,0.93935,0.96907,0.97481,0.64369,1.03977,1.4187,0.55743,1.22537,0,0.0013532,0.0013532,0.0013532
51,473.44,1.03543,1.61245,0.73775,1.1779,0,0.85744,0.9611,0.9362,0.7146,0.86725,0.95876,0.95143,0.63085,0.96237,1.45883,0.60826,1.20112,0,0.00134,0.00134,0.00134
52,482.506,1.02718,1.61187,0.7436,1.17072,0,0.97153,0.93299,0.97223,0.76296,0.96819,0.94148,0.97996,0.68107,0.93136,1.41462,0.53866,1.19679,0,0.0013268,0.0013268,0.0013268
53,491.628,0.98972,1.60266,0.7314,1.15717,0,0.89597,0.97667,0.97063,0.74981,0.90069,0.98171,0.97417,0.66332,0.90819,1.39433,0.49737,1.14613,0,0.0013136,0.0013136,0.0013136
54,500.683,1.01118,1.59385,0.72154,1.1551,0,0.93806,0.93684,0.97092,0.73087,0.95274,0.95361,0.9807,0.66812,1.01314,1.43035,0.5882,1.20177,0,0.0013004,0.0013004,0.0013004
55,509.753,0.99975,1.54519,0.71251,1.16672,0,0.88573,0.96392,0.95466,0.7568,0.88573,0.96392,0.9578,0.6638,0.84369,1.39563,0.52307,1.10497,0,0.0012872,0.0012872,0.0012872
56,518.821,0.99972,1.56242,0.71897,1.17007,0,0.90299,0.95876,0.97051,0.71541,0.91755,0.97423,0.982,0.64032,0.99334,1.43626,0.54379,1.18094,0,0.001274,0.001274,0.001274
57,527.87,0.98858,1.51986,0.72559,1.16615,0,0.88195,0.95361,0.94669,0.71277,0.88766,0.9775,0.9593,0.65166,0.97997,1.38853,0.54407,1.21388,0,0.0012608,0.0012608,0.0012608
58,537.005,0.9947,1.58146,0.70796,1.16107,0,0.9486,0.96392,0.97505,0.74495,0.95601,0.96907,0.98307,0.64096,0.91719,1.47952,0.48337,1.1389,0,0.0012476,0.0012476,0.0012476
59,546.026,1.00305,1.54094,0.68498,1.14738,0,0.94491,0.97938,0.98489,0.7643,0.94491,0.97938,0.98611,0.64934,0.93231,1.47277,0.45543,1.14543,0,0.0012344,0.0012344,0.0012344
60,555.104,0.97267,1.53672,0.70353,1.12618,0,0.92744,0.95361,0.96456,0.70265,0.92242,0.94845,0.95776,0.54881,1.0562,1.72127,0.5741,1.24983,0,0.0012212,0.0012212,0.0012212
61,564.251,1.03022,1.61694,0.735,1.17022,0,0.94227,0.95876,0.96743,0.76024,0.9524,0.96907,0.98094,0.68291,0.91157,1.38843,0.50065,1.14723,0,0.001208,0.001208,0.001208
62,573.463,1.00391,1.60128,0.72847,1.16029,0,0.96073,0.96392,0.97584,0.7736,0.97154,0.97423,0.98235,0.68532,0.86559,1.3801,0.47581,1.12976,0,0.0011948,0.0011948,0.0011948
63,582.511,1.00403,1.55185,0.7029,1.15897,0,0.92177,0.95361,0.97012,0.74523,0.92675,0.95876,0.97356,0.67087,0.90642,1.47862,0.52589,1.18191,0,0.0011816,0.0011816,0.0011816
64,591.704,0.96573,1.47306,0.66922,1.14338,0,0.93698,0.97423,0.9738,0.74504,0.93698,0.97423,0.97564,0.66639,0.89763,1.38587,0.53111,1.14517,0,0.0011684,0.0011684,0.0011684
65,600.932,1.02791,1.5258,0.70785,1.17272,0,0.90771,0.95876,0.95722,0.72664,0.91259,0.96392,0.96358,0.58569,1.00008,1.75184,0.59079,1.21225,0,0.0011552,0.0011552,0.0011552
66,610.076,0.98277,1.51503,0.69279,1.13859,0,0.93567,0.97938,0.96792,0.75123,0.93567,0.97938,0.96792,0.67747,0.95761,1.34072,0.55182,1.17642,0,0.001142,0.001142,0.001142
67,619.19,0.95994,1.52006,0.67569,1.12858,0,0.95873,0.95798,0.973,0.73107,0.95357,0.95283,0.96774,0.61512,0.96723,1.55239,0.47681,1.20588,0,0.0011288,0.0011288,0.0011288
68,628.497,0.9893,1.48471,0.69041,1.15451,0,0.96907,0.96907,0.97847,0.76136,0.96907,0.96907,0.97703,0.65718,0.93887,1.42128,0.50824,1.18041,0,0.0011156,0.0011156,0.0011156
69,637.712,0.99013,1.5647,0.69403,1.15917,0,0.90401,0.95876,0.96336,0.75041,0.90401,0.95876,0.96381,0.66808,0.87019,1.35945,0.52269,1.15108,0,0.0011024,0.0011024,0.0011024
70,646.848,0.96837,1.47537,0.67116,1.13176,0,0.91638,0.96392,0.96438,0.75609,0.92692,0.97423,0.97387,0.67109,0.89425,1.36146,0.48437,1.13301,0,0.0010892,0.0010892,0.0010892
71,655.988,0.94479,1.46656,0.65716,1.12138,0,0.90292,0.95882,0.95992,0.76731,0.93058,0.96735,0.96952,0.66118,0.88186,1.37821,0.48708,1.13721,0,0.001076,0.001076,0.001076
72,665.029,0.9415,1.45794,0.65997,1.13753,0,0.91133,0.96392,0.96201,0.75233,0.9162,0.96907,0.96685,0.67929,0.96023,1.33043,0.52978,1.19411,0,0.0010628,0.0010628,0.0010628
73,674.324,0.96411,1.51119,0.65321,1.13318,0,0.9641,0.96895,0.97534,0.75565,0.96922,0.97402,0.97818,0.65771,0.93861,1.41055,0.48874,1.1721,0,0.0010496,0.0010496,0.0010496
74,683.411,0.94216,1.5152,0.64835,1.12169,0,0.93987,0.97423,0.97832,0.76603,0.94991,0.98454,0.98126,0.6655,0.92068,1.42997,0.51196,1.15122,0,0.0010364,0.0010364,0.0010364
